target_regime,batch,heads,seqlen,head_dim,causal,precision,predicted_bottleneck,ncu_coarse,mma_time_us,mufu_time_us,tma_time_us,hbm_time_us,l2_time_us,smem_time_us,tma_over_mma,tma_over_mufu,memory_over_compute
hbm,8,32,256,128,True,bf16,hbm,memory,8.195775552326731,4.097887776163366,134.58282051282052,187.24571428571429,29.95931428571429,0.8234976282474162,16.4209988003653,32.8419976007306,22.846613244863246
hbm,16,32,256,128,True,bf16,hbm,memory,13.951018643250345,6.9755093216251725,269.015641025641,374.49142857142857,11.905278811310998,1.6469952564948325,19.28286728767248,38.56573457534496,26.84330357142857
hbm,32,16,512,64,True,bf16,hbm,compute,27.90203728650069,27.90203728650069,269.015641025641,374.49142857142857,11.905278811310998,1.6469952564948325,9.64143364383624,9.64143364383624,13.421651785714285
tma,16,16,2048,128,True,bf16,tma,compute,446.43259658401104,223.21629829200552,1075.612564102564,207.87663125557057,27.365613208470663,6.58798102597933,2.409350420047457,4.818700840094914,2.409350420047457
tma,8,32,4096,128,True,bf16,tma,compute,1785.7303863360441,892.8651931680221,2151.075128205128,348.2419863554009,51.10811209302361,13.17596205195866,1.204591210781095,2.40918242156219,1.204591210781095
tma,4,64,2048,64,True,bf16,tma,compute,223.21629829200552,223.21629829200552,537.881282051282,169.75790999050633,15.943282840334557,3.293990512989665,2.4096864170179915,2.4096864170179915,2.4096864170179915
mma,4,32,8192,128,True,bf16,mma,compute,3571.4607726720883,1785.7303863360441,2151.075128205128,348.2419863554009,51.10811209302361,13.17596205195866,0.6022956053905475,1.204591210781095,0.6022956053905475
mma,8,48,8192,64,True,bf16,mma,compute,5357.191159008133,5357.191159008133,3226.5376923076924,495.54052173893444,75.007054884346,19.763943077937988,0.6022816055167753,0.6022816055167753,0.6022816055167753
mma,2,64,16384,64,True,bf16,mma,compute,7142.921545344177,7142.921545344177,2151.075128205128,348.2419863554009,51.10811209302361,13.17596205195866,0.30114780269527375,0.30114780269527375,0.30114780269527375
mufu,4,64,8192,16,True,bf16,mufu,compute,892.8651931680221,3571.4607726720883,537.881282051282,169.75790999050633,15.943282840334557,3.293990512989665,0.6024216042544979,0.15060540106362447,0.15060540106362447
mufu,8,32,16384,16,True,bf16,mufu,compute,3571.4607726720883,14285.843090688353,1075.612564102564,207.87663125557057,27.365613208470663,6.58798102597933,0.30116880250593214,0.07529220062648304,0.07529220062648304
mufu,2,96,8192,32,True,bf16,mufu,compute,1339.2977897520332,2678.5955795040663,806.7469230769232,179.04801005198607,21.542316727486284,4.940985769484497,0.6023656047594089,0.30118280237970446,0.30118280237970446
