tma_factor,mma_efficiency,coarse_accuracy,correct,total
0.2,0.5,0.5,6,12
0.2,0.65,0.5,6,12
0.2,0.75,0.5,6,12
0.2,0.85,0.5,6,12
0.2,0.95,0.5,6,12
0.2,1.0,0.5,6,12
0.35,0.5,0.6666666666666666,8,12
0.35,0.65,0.6666666666666666,8,12
0.35,0.75,0.6666666666666666,8,12
0.35,0.85,0.5,6,12
0.35,0.95,0.5,6,12
0.35,1.0,0.5,6,12
0.5,0.5,0.75,9,12
0.5,0.65,0.6666666666666666,8,12
0.5,0.75,0.6666666666666666,8,12
0.5,0.85,0.6666666666666666,8,12
0.5,0.95,0.6666666666666666,8,12
0.5,1.0,0.6666666666666666,8,12
0.65,0.5,0.75,9,12
0.65,0.65,0.75,9,12
0.65,0.75,0.6666666666666666,8,12
0.65,0.85,0.6666666666666666,8,12
0.65,0.95,0.6666666666666666,8,12
0.65,1.0,0.6666666666666666,8,12
0.8,0.5,0.75,9,12
0.8,0.65,0.75,9,12
0.8,0.75,0.75,9,12
0.8,0.85,0.75,9,12
0.8,0.95,0.6666666666666666,8,12
0.8,1.0,0.6666666666666666,8,12
1.0,0.5,0.9166666666666666,11,12
1.0,0.65,0.75,9,12
1.0,0.75,0.75,9,12
1.0,0.85,0.75,9,12
1.0,0.95,0.75,9,12
1.0,1.0,0.75,9,12
